time_s,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm,contact_ground_truth,Fz_moving_average_N,Fz_butterworth_N
0.0,-0.08135117637363153,0.040512721647255966,0.10665097791405097,0.003263985311565425,0.005776558337954426,0.0014102162858254884,0,-0.05745276956202762,0.09309895552160471
0.005,-0.11985798800167854,0.14323494435618883,-0.36342895184599744,0.0030474439864374417,0.01595917126615976,0.007192987871992898,0,-0.041780628631903606,0.07155341409669279
0.01,0.07812176822101925,0.04373140104589988,0.2637888811718136,0.0097337212868898,0.009814640550840307,-0.01177816492666949,0,-0.02785834122333237,0.05106700884839133
0.015,0.04533379475310092,0.3582130666263078,0.3308940746043735,0.01502265843977496,-0.005869582107794202,-0.002282385299100397,0,-0.026363627727889097,0.032398204147518796
0.02,-0.25286247856985894,0.2287659923952669,-0.6806004550434371,-0.024139075531217566,0.009526048852035677,0.006633226363032961,0,-0.006269487388714994,0.016208360777294227
0.025,0.20208208582147294,-0.049204442354722495,-0.45293556144450003,0.004222310985416506,-0.024703482896165627,0.0005248011867407525,0,0.0023075830252005033,0.0030030787500726656
0.03,-0.016955023563149995,-0.050884389409131085,0.04813677185605934,-0.011306903830269114,0.0014995807921137905,0.011738670496619842,0,-0.012306146066640988,-0.0069081411634793095
0.035,-0.1999675971388297,0.0751514751176565,-0.1067269599993386,-0.012338500536545578,-0.001940866364154299,-0.012607386865495347,0,-0.005400892276872682,-0.013429115483462782
0.04,0.2139811405836973,-0.1340830688681096,-0.0013571974833725652,-0.005236810825438377,-0.008283258477116084,-0.013520014143569067,0,-0.021701003088902073,-0.016669795873224435
0.045,0.1126216028873077,0.18660612904519788,-0.2934769709702039,0.008774864316430063,-0.02023236673478618,0.0061574921329817425,0,-0.005819575306012549,-0.01691736376197929
0.05,-0.22761755855062454,0.0578560834949734,0.3134428186024802,-0.01496094401549391,0.010877249623709489,0.006926457719462199,0,-0.0061565256583113424,-0.014591215291820543
0.055,0.31989291124639035,0.041033425737365244,0.2784457481714247,0.008071599814009647,-0.02656247429314779,-0.0015460000546546667,0,-0.014159214874596454,-0.010189101948791239
0.06,0.11858352630591469,0.10991258684333062,0.029894269908865505,0.010381203146399265,-0.0020746597212615765,0.0032031552003657943,0,-0.007310893345612011,-0.0042324002814556425
0.065,-0.0018353008125083037,0.2756527813390494,0.40188280678348204,0.0073610814964712125,-0.012209996905850245,0.005961655821051254,0,0.0015154584787944033,0.0027819047259151726
0.07,0.2862393850119203,0.02735285635000083,0.17154140827830994,-0.007992414893520466,-0.017083591901716454,-0.006510905646813971,0,-0.017084016069346123,0.010416733978822984
0.075,0.028673601089335303,-0.018086459339421497,-0.2922745818368297,-0.010245941525378457,0.010687112992771567,-0.005654787000394393,0,0.01012792834457087,0.01831505182265737
0.08,-0.005054953518725756,0.24139513973161256,0.13810507579536613,0.01629419980909259,0.006030828064697993,0.0015178094335890928,0,0.02731818163314071,0.02620499762683663
0.085,-0.11885402088395802,0.15480806655858165,-0.32600221624058784,-0.011242025200994507,0.015057652003224169,0.007232711679149761,0,0.03496070990654374,0.03389305087125905
0.09,0.10473307907527414,-0.05135677446139557,0.31762855565779047,0.009360785246656896,0.01245527895275468,-0.009327655410863878,0,0.047454418489896885,0.04124958982770968
0.095,0.08578853411831637,0.0008298317854432137,-0.00673900704597586,-0.0016312457966682866,-0.01030204309494714,-0.001583581055480155,0,0.05553531103102455,0.04819103291041493
0.1,0.002642425180148032,0.03126094655020777,-0.053402806411651293,-0.00017682133267337688,0.014910443869004277,-0.0019538930536355096,0,0.07856685037255517,0.05466179271168859
0.105,-0.14219754369616852,0.05789007113679726,-0.22646252126630873,-0.01563362527571332,-0.01038913025090396,0.0033436728403421134,0,0.10121996534421533,0.06061841990443869
0.11,0.023387373749893293,-0.21705597615025823,0.4403159176599418,-0.006893565705042322,0.006759382132952234,-6.95869600706742e-05,0,0.0810599256520903,0.06601779380153926
0.115,-0.01256378143718482,-0.24679753724824963,-0.04109541635843704,-3.408327109248165e-05,-0.00455646370288417,-0.004367068670422875,0,0.07150355008896796,0.07081062814985825
